,codigo,fec_nac,sexo,edo_civ,depto,fec_ing,fec_baj,jorn,puesto,cp,label,antig
0,8071,1995-01-26,FEMENINO,SOLTERO,25,2019-07-31,,1,0001,56386,1,104
4,6600,1973-02-08,FEMENINO,SOLTERO,80,2015-10-01,,1,0002A,07460,1,1503
5,7685,1995-11-23,FEMENINO,SOLTERO,05,2018-06-08,,1,0002A,56617,1,522
7,5933,1962-08-06,FEMENINO,SOLTERO,51,2014-09-01,,1,0002A,07600,1,1898
8,7170,1978-05-09,FEMENINO,SOLTERO,57,2016-11-17,,1,0002A,55055,1,1090
10,5201,1974-01-30,FEMENINO,SOLTERO,82,2018-06-11,,1,0019A,54803,1,519
11,3890,1972-05-29,FEMENINO,SOLTERO,06,2010-05-24,,1,0175,56570,1,3459
12,7834,1973-10-25,FEMENINO,SOLTERO,54,2018-12-12,,1,0003A,54948,1,335
16,8083,1966-09-23,MASCULINO,CASADO,61,2019-08-08,,1,0017,54426,1,96
20,1123,1962-06-16,FEMENINO,SOLTERO,59,2006-01-02,,1,0017A,56495,1,5062
24,8144,1988-03-23,FEMENINO,SOLTERO,82,2019-10-02,,1,0001,54950,1,41
25,8049,1977-03-21,FEMENINO,CASADO,68,2019-07-08,,1,0001,08000,1,127
29,8100,1997-05-06,FEMENINO,SOLTERO,06,2019-08-28,,1,0001,56514,1,76
31,8066,1982-04-13,FEMENINO,SOLTERO,60,2019-07-22,,1,0001,55067,1,113
32,8161,1986-06-21,FEMENINO,SOLTERO,56,2019-10-18,,1,0001,01510,1,25
33,7977,1972-04-21,FEMENINO,CASADO,88,2019-05-06,,1,0001,53660,1,190
38,8088,1990-04-13,FEMENINO,SOLTERO,61,2019-08-13,,1,0001,52918,1,91
41,8123,1985-04-08,FEMENINO,SOLTERO,59,2019-09-18,,1,0001,56272,1,55
45,8143,1980-08-29,FEMENINO,SOLTERO,87,2019-09-30,,1,0017,50010,1,43
46,8132,1990-08-13,FEMENINO,SOLTERO,56,2019-09-24,,1,0001,01140,1,49
47,8112,1966-02-03,MASCULINO,CASADO,50,2019-09-05,,1,0017,54948,1,68
51,7259,1966-05-26,FEMENINO,SOLTERO,81,2017-02-08,,1,0002A,02230,1,1007
56,7338,1965-09-29,FEMENINO,SOLTERO,82,2017-03-31,,1,0003A,54930,1,956
57,5677,1983-10-24,FEMENINO,SOLTERO,87,2013-12-21,,1,0017A,50290,1,2152
61,8078,1997-12-29,FEMENINO,SOLTERO,74,2019-08-06,,1,0001,09704,1,98
62,8023,1978-05-29,FEMENINO,SOLTERO,50,2019-06-21,,1,0001,07469,1,144
65,7896,1964-03-10,FEMENINO,SOLTERO,68,2019-10-23,,1,0001,09209,1,20
66,8042,1971-12-23,FEMENINO,VIUDO,79,2019-07-02,,1,0001,02400,1,133
68,7943,1979-01-29,FEMENINO,SOLTERO,51,2019-04-05,,1,0001,07650,1,221
71,8152,1993-10-17,FEMENINO,SOLTERO,05,2019-10-11,,1,0001,08500,1,32
72,0849,1958-11-30,FEMENINO,SOLTERO,83,1997-03-05,,1,0037,11280,1,8287
74,7536,1997-07-02,FEMENINO,SOLTERO,75,2017-10-26,,1,0002A,01100,1,747
79,5181,1970-02-02,FEMENINO,SOLTERO,60,2012-09-13,,1,0002A,55067,1,2616
80,5429,1994-08-12,MASCULINO,CASADO,50,2019-03-30,,1,0175,54170,1,227
86,5558,1972-04-30,FEMENINO,SOLTERO,80,2013-08-22,,1,0003A,52928,1,2273
89,7663,1983-10-18,MASCULINO,CASADO,08,2018-05-10,,1,0001,57940,1,551
95,7773,1981-12-24,FEMENINO,SOLTERO,87,2018-09-27,,1,0002A,50295,1,411
101,1424,1971-12-18,MASCULINO,SOLTERO,88,2009-07-20,,1,0009,11290,1,3767
102,5280,1975-01-03,MASCULINO,SOLTERO,81,2016-04-05,,1,0023,07420,1,1316
103,8020,1995-07-01,MASCULINO,SOLTERO,37,2019-06-10,,1,0001,57158,1,155
107,8156,1981-04-17,FEMENINO,SOLTERO,37,2019-10-14,,1,0001,54090,1,29
108,8163,1995-03-31,FEMENINO,CASADO,79,2019-10-18,,1,0001,53787,1,25
